run_id,controller,scenario,slo_satisfaction_rate,slo_violations,total_windows,n_mode_switches,skip_ratio,offload_ratio,avg_fps,avg_latency_ms,steps
1,dqn,scenario_ramp_up,0.9521,15,313,16,0.0,0.1949,14.88,94.03,59
1,dqn,scenario_burst,0.9472,13,246,3,0.1689,0.3818,14.0,98.52,59
1,dqn,scenario_steady_overload,0.9722,14,503,87,0.0473,0.2424,13.75,101.85,88
1,dqn,scenario_oscillating,0.9613,21,542,11,0.0163,0.4102,15.03,92.09,117
2,dqn,scenario_ramp_up,0.9617,12,313,5,0.0,0.2939,14.89,92.24,59
2,dqn,scenario_burst,0.8661,32,239,38,0.173,0.2491,13.91,109.05,58
2,dqn,scenario_steady_overload,0.9564,23,528,13,0.0,0.3068,14.02,94.01,88
2,dqn,scenario_oscillating,0.9744,14,546,10,0.0091,0.2069,16.53,85.16,117
3,dqn,scenario_ramp_up,0.9712,9,313,17,0.0,0.1853,14.86,92.45,59
3,dqn,scenario_burst,0.8852,28,244,15,0.1557,0.2837,13.59,107.58,58
3,dqn,scenario_steady_overload,0.9435,27,478,77,0.0947,0.1723,14.9,99.03,88
3,dqn,scenario_oscillating,0.9596,22,545,116,0.0109,0.0962,16.49,87.2,117
